[2024/08/21 09:10:15] - Namespace(batch_size=512, data_dir='../../cifar-data', epochs=80, lr_schedule='cyclic', lr_min=0.0, lr_max=0.2, weight_decay=0.0005, momentum=0.9, epsilon=8, attack_iters=7, restarts=1, alpha=2, delta_init='random', out_dir='tmp', seed=0, opt_level='O2', loss_scale='1.0', master_weights=False)
[2024/08/21 09:10:16] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2024/08/21 09:17:10] - 0 	 413.9 	 	 0.0050 	 1.9966 	 0.2652
[2024/08/21 09:24:04] - 1 	 413.6 	 	 0.0100 	 1.4555 	 0.4625
[2024/08/21 09:30:57] - 2 	 413.1 	 	 0.0150 	 1.1373 	 0.5882
[2024/08/21 09:37:53] - 3 	 415.6 	 	 0.0200 	 0.9117 	 0.6746
[2024/08/21 09:44:50] - 4 	 417.2 	 	 0.0250 	 0.7740 	 0.7272
[2024/08/21 09:51:45] - 5 	 415.4 	 	 0.0300 	 0.6763 	 0.7644
[2024/08/21 09:58:39] - 6 	 413.8 	 	 0.0350 	 0.6173 	 0.7840
[2024/08/21 10:05:32] - 7 	 413.2 	 	 0.0400 	 0.5694 	 0.8038
[2024/08/21 10:12:25] - 8 	 412.4 	 	 0.0450 	 0.5165 	 0.8210
[2024/08/21 10:19:17] - 9 	 412.2 	 	 0.0500 	 0.4912 	 0.8291
[2024/08/21 10:26:09] - 10 	 412.6 	 	 0.0550 	 0.4639 	 0.8391
[2024/08/21 10:33:02] - 11 	 412.2 	 	 0.0600 	 0.4343 	 0.8507
[2024/08/21 10:39:55] - 12 	 413.0 	 	 0.0650 	 0.4157 	 0.8570
[2024/08/21 10:46:48] - 13 	 413.0 	 	 0.0700 	 0.3917 	 0.8634
[2024/08/21 10:53:44] - 14 	 415.9 	 	 0.0750 	 0.3823 	 0.8671
[2024/08/21 11:00:38] - 15 	 414.1 	 	 0.0800 	 0.3660 	 0.8725
[2024/08/21 11:07:33] - 16 	 415.6 	 	 0.0850 	 0.3458 	 0.8799
